round_epochs,loss,accuracy,val_loss,val_acc,batch_size,dropout,epochs,nodes,steps_per_epoch
30,0.66563648,0.785534024,0.662753582,0.779885471,50,0,30,128,936
30,1.595623612,0.46059829,1.522179604,0.475433648,50,0,30,128,468
30,2.760694027,0.205555558,2.724797249,0.212851405,50,0,30,128,234
30,0.530694723,0.833461642,0.552468002,0.829616308,50,0,30,256,936
30,0.642594278,0.793689549,0.606630504,0.809877813,50,0,30,256,468
30,0.825583577,0.7297436,0.800988257,0.736050606,50,0,30,256,234
50,0.566107988,0.821912825,0.542302132,0.831239879,50,0,50,128,936
50,0.836745918,0.727074265,0.803878605,0.739041269,50,0,50,128,468
50,1.811359286,0.420940161,1.791316867,0.424335629,50,0,50,128,234
50,0.443121076,0.863766611,0.487045079,0.85960865,50,0,50,256,936
50,0.534765303,0.82883811,0.494745433,0.840724587,50,0,50,256,468
50,0.691504121,0.775982916,0.659602344,0.785781443,50,0,50,256,234
70,0.565498054,0.82058686,0.548784018,0.827052891,50,0,70,128,936
70,3.485168457,0.065887488,3.485999823,0.063487992,50,0,70,128,468
70,3.486231089,0.06769231,3.486232758,0.063487992,50,0,70,128,234
70,0.466691494,0.862718701,0.4243882,0.876185596,50,0,70,256,936
70,0.473138899,0.851442754,0.455105215,0.862941146,50,0,70,256,468
70,0.645040274,0.789743602,0.567945004,0.816200972,50,0,70,256,234
30,0.926724195,0.69564569,0.744354308,0.76185596,50,0.2,30,128,936
30,1.162822008,0.614907086,0.972928047,0.676835001,50,0.2,30,128,468
30,1.63512969,0.470683753,1.507273793,0.490130723,50,0.2,30,128,234
30,1.571180344,0.486954093,1.273034096,0.567632258,50,0.2,30,256,936
30,1.452139378,0.530128181,1.166816831,0.613945127,50,0.2,30,256,468
30,1.612346768,0.481453001,1.286863327,0.581133068,50,0.2,30,256,234
50,3.484761238,0.067560628,3.485983849,0.063487992,50,0.2,50,128,936
50,0.962376952,0.692139745,0.783911586,0.736648738,50,0.2,50,128,468
50,3.495439291,0.067078404,3.48647809,0.063487992,50,0.2,50,128,234
50,1.292984605,0.579280555,1.025962949,0.654276669,50,0.2,50,256,936
50,1.290817857,0.578688264,1.08472991,0.641117632,50,0.2,50,256,468
50,1.342072845,0.562703729,1.04854095,0.656669259,50,0.2,50,256,234
70,0.78924638,0.750481188,0.538753092,0.828590989,50,0.2,70,128,936
70,0.88722086,0.71829778,0.637859464,0.794924378,50,0.2,70,128,468
70,1.08172667,0.639316261,0.906272531,0.684867144,50,0.2,70,128,234
70,1.515074134,0.505389452,1.256858826,0.562847137,50,0.2,70,256,936
70,1.302600622,0.576761723,1.034166098,0.660172582,50,0.2,70,256,468
70,1.742393374,0.445213675,1.460635781,0.522601068,50,0.2,70,256,234
1,3.66812706,0.166253626,2.942233801,0.204477489,100,0,30,128,936
30,0.458724409,0.850432456,0.504366159,0.842006326,100,0,30,128,468
30,0.948880374,0.674703956,0.895725369,0.691617548,100,0,30,128,234
1,2.827789545,0.474021524,1.134008765,0.634110928,100,0,30,256,936
30,0.422417045,0.862057865,0.492583603,0.844484329,100,0,30,256,468
30,0.539622009,0.821965814,0.498155385,0.839699209,100,0,30,256,234
1,3.154705048,0.213467777,2.562884331,0.26198411,100,0,50,128,936
50,0.377145559,0.880662858,0.373883277,0.8887465,100,0,50,128,468
50,0.592678249,0.804273486,0.63653928,0.791335583,100,0,50,128,234
1,2.686442375,0.471094698,1.284418464,0.588139772,100,0,50,256,936
50,0.348907709,0.891046524,0.375178576,0.892591655,100,0,50,256,468
50,0.443185121,0.854556382,0.453134418,0.854396284,100,0,50,256,234
1,3.751782179,0.165057257,2.951036215,0.194650948,100,0,70,128,936
70,0.318546951,0.899289191,0.369047374,0.894984186,100,0,70,128,468
70,0.430577308,0.863247871,0.441872418,0.867128074,100,0,70,128,234
1,2.757670879,0.454067677,1.258030772,0.599589825,100,0,70,256,936
70,0.333812416,0.894728959,0.328839719,0.900538325,100,0,70,256,468
70,0.412884444,0.866912663,0.443866819,0.865931809,100,0,70,256,234
1,4.033589363,0.132242352,3.156192541,0.162351534,100,0.2,30,128,936
30,0.756955266,0.753746688,0.54792881,0.820900619,100,0.2,30,128,468
30,0.927433729,0.691350639,0.726313353,0.755105555,100,0.2,30,128,234
1,3.223488808,0.334835917,1.788873434,0.435871154,100,0.2,30,256,936
30,1.125565052,0.628179312,0.829019547,0.727249444,100,0.2,30,256,468
30,1.317385197,0.576196611,1.005817294,0.673844337,100,0.2,30,256,234
1,3.931426048,0.14798753,3.106004238,0.197983429,100,0.2,50,128,936
50,0.609324753,0.80232507,0.429992497,0.856361628,100,0.2,50,128,468
50,0.724497855,0.75862366,0.574501395,0.815688312,100,0.2,50,128,234
1,3.137330294,0.325692177,1.723396897,0.440998048,100,0.2,50,256,936
50,0.945990145,0.691487551,0.694739461,0.776638448,100,0.2,50,256,468
50,1.103458285,0.636282027,0.85594058,0.725711346,100,0.2,50,256,234
1,3.936902761,0.147004783,3.190321445,0.182859093,100,0.2,70,128,936
70,0.554518938,0.823884547,0.384590179,0.873451233,100,0.2,70,128,468
70,0.740150273,0.759867847,0.538387239,0.822951376,100,0.2,70,128,234
1,3.147167921,0.32490173,1.714496255,0.451166362,100,0.2,70,256,936
70,0.981963336,0.680440187,0.697436452,0.779458284,100,0.2,70,256,468
70,1.037781239,0.664658129,0.838124752,0.723147929,100,0.2,70,256,234
1,4.041370392,0.217249185,2.16977787,0.356404334,200,0,30,128,936
1,3.463904142,0.340710998,1.763494611,0.469452292,200,0,30,128,468
30,0.455253422,0.848781347,0.432048708,0.858241498,200,0,30,128,234
1,2.765089512,0.483400285,1.106135011,0.645731866,200,0,30,256,936
1,3.37150526,0.452914029,1.288381457,0.596086502,200,0,30,256,468
30,0.401828319,0.867876768,0.367910475,0.878749013,200,0,30,256,234
1,3.655556917,0.251303196,2.288896084,0.350166619,200,0,50,128,936
1,3.860577106,0.162685871,3.138253212,0.205502868,200,0,50,128,468
50,0.365270883,0.877982318,0.339285463,0.891566277,200,0,50,128,234
1,3.217452049,0.465604156,1.629711628,0.538665295,200,0,50,256,936
1,3.109732628,0.461352766,1.34770751,0.585319996,200,0,50,256,468
50,0.327670157,0.891649485,0.329951763,0.896180451,200,0,50,256,234
1,3.512083292,0.232203901,2.352124691,0.30650261,200,0,70,128,936
1,3.829137564,0.228572041,2.397466183,0.3070153,200,0,70,128,468
70,0.263998657,0.915186226,0.344641149,0.895411432,200,0,70,128,234
1,2.933157444,0.467035562,1.264861941,0.602238715,200,0,70,256,936
1,3.163531065,0.445799857,1.316106439,0.597197294,200,0,70,256,468
70,0.305476665,0.902033985,0.322645545,0.905408859,200,0,70,256,234
1,4.432319641,0.160634935,2.991363287,0.244979918,200,0.2,30,128,936
1,4.081368446,0.143714756,3.180076361,0.171665385,200,0.2,30,128,468
30,0.686196268,0.771734476,0.510309577,0.825343907,200,0.2,30,128,234
1,3.452865362,0.328597665,1.577252269,0.483551234,200,0.2,30,256,936
1,3.384126663,0.314305246,1.627593517,0.474750072,200,0.2,30,256,468
30,0.944273889,0.69176966,0.741830945,0.751943946,200,0.2,30,256,234
1,4.195614338,0.130426422,3.245914221,0.18277365,200,0.2,50,128,936
1,4.120337486,0.170910954,2.454381704,0.269503534,200,0.2,50,128,468
50,0.655839145,0.78634572,0.490609884,0.841664553,200,0.2,50,128,234
1,3.345998764,0.343296021,1.523087144,0.505853176,200,0.2,50,256,936
1,3.37001276,0.331139982,1.58937192,0.481073231,200,0.2,50,256,468
50,0.847230494,0.721549928,0.597994268,0.8039819,200,0.2,50,256,234
1,4.204857349,0.137348309,3.248206854,0.172519863,200,0.2,70,128,936
1,4.226331234,0.127115026,3.27145195,0.16423139,200,0.2,70,128,468
70,0.484102577,0.843481779,0.329258949,0.895240545,200,0.2,70,128,234
1,3.460485458,0.337185949,1.657379866,0.472357512,200,0.2,70,256,936
1,3.574621439,0.332891822,1.646591306,0.47842434,200,0.2,70,256,468
70,0.820871353,0.730883121,0.573901594,0.821498752,200,0.2,70,256,234
